sequence,source,destination,domain,length,info
98,192.102.122.87,127.50.110.170,geocities.jp,1274,99ccefa6635c2f892f8171ff55d90d6525f553dde2746799d3b9bbbd22b3eca0
85,102.167.111.19,132.88.155.59,oracle.com,360,fed08ab31f7ffe527d20a5b5f2eb2b54915490bb16a600ef4396d71e074f9b26
50,119.108.158.212,95.72.43.45,php.net,1054,2d602a25ab244210a1189ee45bdf39365990ba1c8601a475acc74d303490a40a
17,44.45.177.102,20.220.208.3,trellian.com,213,329dbc9c5721195374475e76c654402edae8dc7e843451768f8f2b67b1b556ec
14,230.35.183.31,36.17.166.80,artisteer.com,1300,f9ccd69575a66327e4cfb35fc824b00464fa84622d36548f7cbf0d3dcf76c0d8
68,135.107.217.199,41.23.52.92,patch.com,1202,b5e46998850403a5ad942aa6ad77a1c146ce2081d814082e653162c88f63310a
48,34.206.118.177,55.1.176.233,nyu.edu,1253,4bbeb274b7a522bb704dfd5570f4cfc631ff194e237b97b0f57fe2ca5f6b612a
28,73.168.26.24,152.233.184.14,people.com.cn,1004,bfb1e623825f9591256f08f672fdefe48b682eaa0d02222bfc8a351d98801b3c
73,134.76.161.129,41.20.161.189,e-recht24.de,180,0375ac50952cce6f47525d5cd40affa61377ed3014c309c5a7dd9d91674085ba
73,231.62.171.43,107.48.103.110,unesco.org,888,1010891bf747b49b02cda2c549316de0f11111e56dded9a10fedc615eca13216
8,11.80.38.145,48.131.93.227,163.com,951,2debc4f154004c1f16035eb25e5c2d4cced2ca2c9513a6f95eac88b33576f9c6
12,9.61.126.89,82.58.97.185,adobe.com,522,10f716296054acd991e85c6d7bfbfbba201018f616756231c0c4391d0d2189bc
2,5.105.190.106,94.155.212.186,pen.io,141,53cadb99221afdfa48d92c53ac32e137988d4984433cddf681170fde040f74e9
87,202.13.208.28,206.87.122.66,qq.com,188,e2f1237b19d6e89a0c095864f853730660c262dd3b3c092ef787e7b14563b08d
97,0.208.80.80,95.222.111.119,miitbeian.gov.cn,1373,ea49e6f659b4b349b337056cf7218a7485e43e752f58b50495e9129061a9af2b
25,108.193.114.146,53.20.162.17,pbs.org,195,aad740a494e301371c6586f38c7b0c1e030419902296a44335eaba48f2dce7b7
40,58.243.93.130,155.117.245.230,google.cn,1306,2f3cdb5549f7d163b5e142fa8eb1df54ce6a41fe098e0746ec32dfee0e86dbcb
75,151.16.87.6,218.80.238.16,parallels.com,1367,6f36b85dd04d7fd9b59c7d0ba8d6422764b798edd0b052a97df6861dacd868fc
95,100.237.219.206,84.3.177.199,xinhuanet.com,369,427bd1ca4bd5eda908fcff91328633921c025d45328c2c7a9e81dfdaf9ca5c41
47,122.226.68.217,1.116.38.112,fotki.com,965,44ea16fef43a180cc836aee76b46bf05d05c0fac2d194ecd32abd39140883af9
65,74.179.35.225,247.37.189.190,wikipedia.org,1410,f8a6e507b965f7ba7e70e00dd76f74b0597d3d7f533684d4e98965b1699213ee
45,17.98.222.98,68.28.238.206,bloglovin.com,1436,3ffaf2378b1ccc71608352e0b3c29684c974617c7201ce6e4e46144257fea41e
62,19.113.192.247,254.224.193.105,mozilla.com,1014,f9e4e2fef8cb20eb27b0aacd43495ad792715deee80c6cc9e82db58a44377e03
22,140.103.1.157,109.147.155.140,hostgator.com,850,17aa4c08b3a92f61b7d40a1b4f72cfcb2159f022d79b7e17f2859b1ab1ddbe74
16,239.109.13.176,20.49.16.63,miibeian.gov.cn,105,108928d843a7d018ed7d9660cdd0ff8646c68dc65861078f790f8f97a9c6334f
72,207.46.255.125,92.111.12.75,cbsnews.com,66,e5488e88f5079475292adaf499791d3e4882f9849269150ba24b247958810e00
51,253.17.122.217,240.251.63.28,google.co.jp,1219,6c7dc0e9346a2774c194d4faeedb4e29743403d75942be553739a8604b7ed981
3,83.140.100.143,41.156.68.213,engadget.com,183,ab3dfaa28811c2cd67fb20c7b77b6b5fa0ced8827889aa8fd21a40b280825787
35,59.159.190.41,30.125.36.12,ucsd.edu,995,72a0494658ee25e9310523611f1e22dda91f3172a083ca29e978c1c25324e6c7
71,142.73.160.213,65.48.56.64,sbwire.com,802,01bbda33293da1711b52d31c93132b8befd58a67824992ebca3297ac2c840784
8,55.113.138.178,251.17.252.154,nytimes.com,1233,166484305edc287a687251e8f6a82d03e12d9aba20f8caffbd689eb828825254
41,180.218.200.229,211.237.194.125,xing.com,1029,9e96e0bb080e94012954f5de6efb7231283992e0f7072827517d292efc299eb8
79,214.175.132.151,71.101.197.127,topsy.com,1151,daff77d6c348c50ecd0f2937ac6233219335962750568667775b6b8ddf5e1851
52,30.37.6.79,185.248.234.179,census.gov,574,9d3ebd87c906f39598056f157fab49696cafc1ba99e70ccaa54eb517b99a5c47
7,3.206.7.222,83.136.116.206,quantcast.com,522,786f8629c34716c3e7425780b3831c5f8e881878a1b10f0ee10ecc3aeb26d701
9,242.140.26.227,141.16.68.131,elpais.com,661,9ad3b6da083c4f1ed5c06f2f0f670f89732ecc7fb7e35a83b2f67b8a0996e689
10,180.24.133.106,234.99.148.208,joomla.org,1228,d99cfa4f896ff7934a93524cb3ec644e1fc6061f090aebb14d41f13c021bcfe5
27,195.144.245.203,20.37.129.127,facebook.com,176,998155496f76760c32741baac129e91c52fdecbcb42147c439db1bebcd76d999
56,98.6.75.108,39.187.42.61,hubpages.com,912,7d2df768a36bf27420335ac5aeea3b7c3b7c78fec34b95ec4db98565a096c04e
